auth_token,nSchemeId,nPredeterminedPointId,nPressure,nTotalPressure,dUpdateDate
uwsp21xcdf654$#^nic,6,2,11.2,7.4,2023-12-28 16:38:47
uwsp21xcdf654$#^nic,6,2,19.8,20.0,2023-12-28 16:38:48
uwsp21xcdf654$#^nic,6,3,19.1,17.4,2023-12-28 16:38:48
uwsp21xcdf654$#^nic,6,4,18.8,19.7,2023-12-28 16:38:48
uwsp21xcdf654$#^nic,6,5,17.7,19.0,2023-12-28 16:38:48
uwsp21xcdf654$#^nic,6,6,17.8,16.9,2023-12-28 16:38:48
uwsp21xcdf654$#^nic,7,61,18.3,16.5,2023-12-28 16:38:49
uwsp21xcdf654$#^nic,7,62,17.0,18.2,2023-12-28 16:38:49
uwsp21xcdf654$#^nic,7,63,19.1,17.4,2023-12-28 16:38:49
uwsp21xcdf654$#^nic,7,64,16.3,18.9,2023-12-28 16:38:49
uwsp21xcdf654$#^nic,7,65,18.6,16.8,2023-12-28 16:38:50
uwsp21xcdf654$#^nic,8,12,19.6,19.6,2023-12-28 16:38:50
uwsp21xcdf654$#^nic,8,13,20.1,18.4,2023-12-28 16:38:50
uwsp21xcdf654$#^nic,8,14,16.4,17.2,2023-12-28 16:38:50
uwsp21xcdf654$#^nic,8,15,18.1,17.1,2023-12-28 16:38:50
uwsp21xcdf654$#^nic,8,16,19.2,18.4,2023-12-28 16:38:51
