token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 6
Id of Tubewell : 31
Status of Pump -on/off : 1
discharge of tubewell : 162
cumulative discharge of day for tubewell : 843
 discharge of OHT : 158
cumulative discharge of day for OHT : 843
pump running hours : 8.4
 water supply hours : 6.2
electricity availability hours : 22.4
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 6
Id of Tubewell : 26
Status of Pump -on/off : 1
discharge of tubewell : 72.4
cumulative discharge of day for tubewell : 624
 discharge of OHT : 68.2
cumulative discharge of day for OHT : 624
pump running hours : 17.23
 water supply hours : 4.8
electricity availability hours : 23.42
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 6
Id of Tubewell : 32
Status of Pump -on/off : 1
discharge of tubewell : 104.5
cumulative discharge of day for tubewell : 2045.5
 discharge of OHT : 94.2
cumulative discharge of day for OHT : 2045.5
pump running hours : 19.36
 water supply hours : 14.3
electricity availability hours : 23.45
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 6
Id of Tubewell : 27
Status of Pump -on/off : 1
discharge of tubewell : 87.2
cumulative discharge of day for tubewell : 1286
 discharge of OHT : 78.3
cumulative discharge of day for OHT : 1286
pump running hours : 20.4
 water supply hours : 14.4
electricity availability hours : 23.25
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 7
Id of Tubewell : 51
Status of Pump -on/off : 1
discharge of tubewell : 110.2
cumulative discharge of day for tubewell : 2142
 discharge of OHT : 124.2
cumulative discharge of day for OHT : 2142
pump running hours : 20.4
 water supply hours : 14.2
electricity availability hours : 23.32
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 7
Id of Tubewell : 52
Status of Pump -on/off : 1
discharge of tubewell : 117.3
cumulative discharge of day for tubewell : 2220
 discharge of OHT : 112.3
cumulative discharge of day for OHT : 2220
pump running hours : 21.36
 water supply hours : 12.4
electricity availability hours : 23.12
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 7
Id of Tubewell : 40
Status of Pump -on/off : 1
discharge of tubewell : 98.2
cumulative discharge of day for tubewell : 2413
 discharge of OHT : 94.3
cumulative discharge of day for OHT : 2413
pump running hours : 23.35
 water supply hours : 13.2
electricity availability hours : 23.46
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 7
Id of Tubewell : 46
Status of Pump -on/off : 1
discharge of tubewell : 56.3
cumulative discharge of day for tubewell : 1102
 discharge of OHT : 78.1
cumulative discharge of day for OHT : 1102
pump running hours : 13.5
 water supply hours : 6.2
electricity availability hours : 23.39
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 7
Id of Tubewell : 41
Status of Pump -on/off : 1
discharge of tubewell : 112.2
cumulative discharge of day for tubewell : 1342
 discharge of OHT : 110.2
cumulative discharge of day for OHT : 1342
pump running hours : 11.59
 water supply hours : 7.5
electricity availability hours : 22.34
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 7
Id of Tubewell : 59
Status of Pump -on/off : 1
discharge of tubewell : 78.2
cumulative discharge of day for tubewell : 1002
 discharge of OHT : 64.4
cumulative discharge of day for OHT : 1002
pump running hours : 12.45
 water supply hours : 6.2
electricity availability hours : 22.52
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 7
Id of Tubewell : 47
Status of Pump -on/off : 1
discharge of tubewell : 120.4
cumulative discharge of day for tubewell : 1892
 discharge of OHT : 98.3
cumulative discharge of day for OHT : 1892
pump running hours : 18.4
 water supply hours : 12.4
electricity availability hours : 23.4
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 8
Id of Tubewell : 1069
Status of Pump -on/off : 1
discharge of tubewell : 48.2
cumulative discharge of day for tubewell : 650
 discharge of OHT : 51.2
cumulative discharge of day for OHT : 650
pump running hours : 7.4
 water supply hours : 4.2
electricity availability hours : 18.27
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 8
Id of Tubewell : 1070
Status of Pump -on/off : 1
discharge of tubewell : 112
cumulative discharge of day for tubewell : 1610
 discharge of OHT : 105
cumulative discharge of day for OHT : 1610
pump running hours : 13.36
 water supply hours : 7.5
electricity availability hours : 23.57
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 8
Id of Tubewell : 3191
Status of Pump -on/off : 1
discharge of tubewell : 86.2
cumulative discharge of day for tubewell : 1001
 discharge of OHT : 76.4
cumulative discharge of day for OHT : 1001
pump running hours : 13.23
 water supply hours : 6.5
electricity availability hours : 23.2
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 8
Id of Tubewell : 3192
Status of Pump -on/off : 1
discharge of tubewell : 92.3
cumulative discharge of day for tubewell : 1526
 discharge of OHT : 87.4
cumulative discharge of day for OHT : 1526
pump running hours : 11.23
 water supply hours : 6.5
electricity availability hours : 23.4
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 8
Id of Tubewell : 1072
Status of Pump -on/off : 1
discharge of tubewell : 121.2
cumulative discharge of day for tubewell : 1783
 discharge of OHT : 110.3
cumulative discharge of day for OHT : 1783
pump running hours : 21.3
 water supply hours : 5.3
electricity availability hours : 23.1
token to access API : uwsp21xcdf654$#^nic
Id of Scheme : 8
Id of Tubewell : 1073
Status of Pump -on/off : 1
discharge of tubewell : 92.3
cumulative discharge of day for tubewell : 1014
 discharge of OHT : 87.4
cumulative discharge of day for OHT : 1014
pump running hours : 14.2
 water supply hours : 6.5
electricity availability hours : 23.3
